# Request counts per minute across the API, twelve hours of traffic.
# Columns: start_ts, end_ts, value (int requests in that minute).
# 720 contiguous one-minute intervals starting at t=0.
0,60,790
60,120,796
120,180,835
180,240,873
240,300,880
300,360,919
360,420,836
420,480,875
480,540,881
540,600,920
600,660,838
660,720,876
720,780,883
780,840,922
840,900,839
900,960,878
960,1020,884
1020,1080,923
1080,1140,841
1140,1200,879
1200,1260,886
1260,1320,924
1320,1380,963
1380,1440,881
1440,1500,887
1500,1560,926
1560,1620,964
1620,1680,882
1680,1740,889
1740,1800,927
1800,1860,966
1860,1920,883
1920,1980,890
1980,2040,929
2040,2100,967
2100,2160,885
2160,2220,891
2220,2280,930
2280,2340,969
2340,2400,1007
2400,2460,1014
2460,2520,931
2520,2580,970
2580,2640,976
2640,2700,1015
2700,2760,933
2760,2820,971
2820,2880,978
2880,2940,1016
2940,3000,934
3000,3060,972
3060,3120,979
3120,3180,1017
3180,3240,935
3240,3300,974
3300,3360,980
3360,3420,1019
3420,3480,1057
3480,3540,975
3540,3600,981
3600,3660,1020
3660,3720,1058
3720,3780,976
3780,3840,982
3840,3900,1021
3900,3960,1059
3960,4020,977
4020,4080,983
4080,4140,1022
4140,4200,1060
4200,4260,978
4260,4320,984
4320,4380,1023
4380,4440,1061
4440,4500,1100
4500,4560,985
4560,4620,1024
4620,4680,1062
4680,4740,1101
4740,4800,1107
4800,4860,1025
4860,4920,1063
4920,4980,1070
4980,5040,1108
5040,5100,1026
5100,5160,1064
5160,5220,1070
5220,5280,1109
5280,5340,1026
5340,5400,1065
5400,5460,1971
5460,5520,2010
5520,5580,1927
5580,5640,1965
5640,5700,1972
5700,5760,2010
5760,5820,2049
5820,5880,1966
5880,5940,1972
5940,6000,2011
6000,6060,2049
6060,6120,1966
6120,6180,1973
6180,6240,2011
6240,6300,2050
6300,6360,1967
6360,6420,1973
6420,6480,2012
6480,6540,2050
6540,6600,1967
6600,6660,1974
6660,6720,2012
6720,6780,2050
6780,6840,2088
6840,6900,2095
6900,6960,2012
6960,7020,2050
7020,7080,2089
