# Hourly outdoor-temperature readings as half-open intervals.
# Columns: start_ts, end_ts, value (deci-celsius).
# 48 contiguous one-hour intervals starting at t=0.
0,3600,180
3600,7200,179
7200,10800,176
10800,14400,171
14400,18000,166
18000,21600,162
21600,25200,160
25200,28800,162
28800,32400,168
32400,36000,176
36000,39600,184
39600,43200,191
43200,46800,196
46800,50400,199
50400,54000,201
54000,57600,200
57600,61200,197
61200,64800,192
64800,68400,186
68400,72000,181
72000,75600,177
75600,79200,174
79200,82800,172
82800,86400,171
86400,90000,170
90000,93600,168
93600,97200,165
97200,100800,160
100800,104400,156
104400,108000,153
108000,111600,151
111600,115200,154
115200,118800,160
118800,122400,168
122400,126000,177
126000,129600,185
129600,133200,191
133200,136800,196
136800,140400,199
140400,144000,200
144000,147600,198
147600,151200,194
151200,154800,189
154800,158400,184
158400,162000,180
162000,165600,177
165600,169200,175
169200,172800,174
